Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,1.156786,1.162679,1.117857,1.130179,0.958030,691992000
2005-01-04,1.139107,1.169107,1.124464,1.141786,0.967869,1096810400
2005-01-05,1.151071,1.165179,1.143750,1.151786,0.976346,680433600
2005-01-06,1.154821,1.159107,1.130893,1.152679,0.977103,705555200
2005-01-07,1.160714,1.243393,1.156250,1.236607,1.048247,2227450400
2005-01-10,1.246964,1.262500,1.212143,1.231429,1.043858,1725309600
2005-01-11,1.218750,1.234821,1.145357,1.152857,0.977253,2611627200
2005-01-12,1.168750,1.176786,1.130357,1.168929,0.990878,1919702400
2005-01-13,1.316250,1.328929,1.245179,1.246429,1.056573,3164716800
2005-01-14,1.254464,1.280714,1.235536,1.253571,1.062627,1770742400
2005-01-18,1.247321,1.262500,1.209821,1.261607,1.069439,1006460000
2005-01-19,1.258750,1.276071,1.245536,1.247857,1.057783,751895200
2005-01-20,1.243750,1.272679,1.240536,1.258214,1.066562,914922400
2005-01-21,1.273393,1.278571,1.250000,1.258750,1.067017,911332800
2005-01-24,1.267500,1.281786,1.259821,1.263571,1.071103,841629600
2005-01-25,1.274464,1.300714,1.266786,1.286607,1.090630,969231200
2005-01-26,1.297500,1.299107,1.271786,1.290179,1.093659,739496800
2005-01-27,1.288571,1.302143,1.277679,1.297143,1.099562,496227200
2005-01-28,1.296786,1.321071,1.293571,1.321071,1.119845,801612000
2005-01-31,1.331786,1.390893,1.330536,1.373214,1.164046,1681097600
2005-02-01,1.375893,1.388750,1.367500,1.384464,1.173582,678395200
2005-02-02,1.391964,1.426964,1.387321,1.421964,1.205370,1020062400
2005-02-03,1.412500,1.418393,1.380893,1.389464,1.177821,731651200
2005-02-04,1.390536,1.409464,1.384464,1.407857,1.193412,563556000
2005-02-07,1.409464,1.416964,1.383929,1.409643,1.194926,524456800
2005-02-08,1.411964,1.453214,1.406964,1.444643,1.224595,890019200
2005-02-09,1.447143,1.464107,1.394643,1.406071,1.191898,1191456000
2005-02-10,1.405714,1.415714,1.368929,1.399286,1.186146,1093019200
2005-02-11,1.426071,1.460000,1.409643,1.450179,1.229287,1201054400
2005-02-14,1.477321,1.514107,1.465179,1.511250,1.281056,1271463200
2005-02-15,1.547500,1.590714,1.535714,1.578750,1.338274,2312217600
2005-02-16,1.574107,1.610714,1.559821,1.609464,1.364310,1639243200
2005-02-17,1.618750,1.622857,1.561607,1.568036,1.329192,1518473600
2005-02-18,1.566786,1.568929,1.540179,1.550179,1.314055,1163254400
2005-02-22,1.541071,1.576786,1.523036,1.523036,1.291046,1219293600
2005-02-23,1.548571,1.579464,1.527679,1.575536,1.335550,1345181600
2005-02-24,1.580000,1.594821,1.566607,1.588036,1.346146,1519028000
2005-02-25,1.600357,1.605536,1.574821,1.589107,1.347054,915510400
2005-02-28,1.595714,1.612143,1.570000,1.602143,1.358104,651610400
2005-03-01,1.606786,1.611071,1.577143,1.589286,1.347205,468188000
2005-03-02,1.580357,1.603214,1.574286,1.575714,1.335701,458161200
2005-03-03,1.584643,1.586071,1.472143,1.492500,1.265162,1411653600
2005-03-04,1.527143,1.536071,1.494643,1.528929,1.296042,756618800
2005-03-07,1.528571,1.544643,1.512500,1.526786,1.294226,450632000
2005-03-08,1.496429,1.505714,1.432143,1.447500,1.227016,1021451200
2005-03-09,1.415714,1.438571,1.386786,1.405357,1.191293,1322465200
2005-03-10,1.411786,1.437857,1.396429,1.422500,1.205825,777109200
2005-03-11,1.436071,1.449643,1.421429,1.438214,1.219145,632830800
2005-03-14,1.447143,1.456786,1.411429,1.440000,1.220659,605385200
2005-03-15,1.451429,1.469286,1.437500,1.462857,1.240034,508608800
2005-03-16,1.471786,1.511071,1.456429,1.470714,1.246695,697813200
2005-03-17,1.483214,1.531429,1.475714,1.508929,1.279089,801920000
2005-03-18,1.547500,1.551429,1.517857,1.534286,1.300583,940150400
2005-03-21,1.546071,1.570357,1.530714,1.560714,1.322986,541128000
2005-03-22,1.561071,1.570000,1.524286,1.529643,1.296648,551415200
2005-03-23,1.516071,1.550000,1.500714,1.519643,1.288170,609823200
2005-03-24,1.532500,1.535714,1.517857,1.517857,1.286657,352704800
2005-03-28,1.526786,1.534286,1.516786,1.518929,1.287566,275410800
2005-03-29,1.520000,1.529643,1.482143,1.491071,1.263951,461356000
2005-03-30,1.502500,1.528571,1.493571,1.528571,1.295739,394959600
2005-03-31,1.516071,1.518571,1.485357,1.488214,1.261529,636134800
2005-04-01,1.503214,1.506429,1.448929,1.460357,1.237915,641284000
2005-04-04,1.463929,1.475357,1.434286,1.467500,1.243970,580014400
2005-04-05,1.472143,1.508571,1.467500,1.496071,1.268189,556239600
2005-04-06,1.514286,1.528929,1.505357,1.511786,1.281510,414825600
2005-04-07,1.511786,1.562500,1.508929,1.555714,1.318747,506987600
2005-04-08,1.560714,1.587500,1.555000,1.562143,1.324197,649950000
2005-04-11,1.576786,1.580357,1.496786,1.497143,1.269098,821662800
2005-04-12,1.517500,1.542500,1.500357,1.523571,1.291500,981061200
2005-04-13,1.533929,1.535357,1.442500,1.465714,1.242456,1371946800
2005-04-14,1.386071,1.412857,1.315714,1.330714,1.128020,2753192400
2005-04-15,1.307857,1.330357,1.260000,1.262500,1.070196,1728087200
2005-04-18,1.250000,1.296429,1.214286,1.272143,1.078370,1327177600
2005-04-19,1.307143,1.337143,1.281071,1.324643,1.122873,1081642800
2005-04-20,1.345000,1.347857,1.265714,1.268214,1.075039,945131600
2005-04-21,1.300000,1.328929,1.282143,1.327857,1.125598,759592400
2005-04-22,1.315714,1.321429,1.246429,1.267857,1.074737,839129200
2005-04-25,1.303214,1.322143,1.289643,1.320714,1.119542,746460400
2005-04-26,1.313571,1.339643,1.290000,1.292500,1.095626,810507600
2005-04-27,1.281786,1.298571,1.268214,1.283929,1.088361,613888800
2005-04-28,1.296071,1.297857,1.258571,1.269286,1.075948,575106000
2005-04-29,1.291071,1.293929,1.257857,1.287857,1.091690,671630400
2005-05-02,1.293214,1.308929,1.286429,1.301071,1.102891,465920000
2005-05-03,1.300000,1.312143,1.286786,1.293214,1.096231,496739600
2005-05-04,1.289643,1.328571,1.289286,1.326786,1.124690,448176400
2005-05-05,1.330357,1.331071,1.302500,1.310000,1.110461,387366000
2005-05-06,1.317500,1.333214,1.313929,1.330000,1.127414,326247600
2005-05-09,1.331429,1.337500,1.312500,1.320357,1.119240,355695200
2005-05-10,1.312500,1.330357,1.297500,1.300714,1.102589,440263600
2005-05-11,1.257143,1.273929,1.182500,1.271786,1.078067,2041981200
2005-05-12,1.265000,1.271071,1.214286,1.218929,1.033262,970242000
2005-05-13,1.221429,1.258214,1.216786,1.241786,1.052637,702713200
2005-05-16,1.234286,1.275000,1.233214,1.269643,1.076250,474294800
2005-05-17,1.255000,1.266429,1.233571,1.262857,1.070498,588344400
2005-05-18,1.266071,1.341429,1.249643,1.280000,1.085030,636722800
2005-05-19,1.277857,1.345714,1.277857,1.341071,1.136799,793161600
2005-05-20,1.330357,1.344643,1.328214,1.341071,1.136799,452650800
2005-05-23,1.351786,1.425000,1.351786,1.420000,1.203705,1042574400
2005-05-24,1.408929,1.428214,1.393929,1.417857,1.201889,593460000
2005-05-25,1.410714,1.426786,1.404286,1.420714,1.204311,396006800
2005-05-26,1.426429,1.462143,1.426429,1.455000,1.233374,525520800
2005-05-27,1.451429,1.456786,1.428929,1.448571,1.227924,316008000
2005-05-31,1.452143,1.455000,1.413571,1.420000,1.203705,404205200
2005-06-01,1.424643,1.455714,1.423571,1.439286,1.220053,453812800
2005-06-02,1.430357,1.440000,1.414286,1.430000,1.212182,373973600
2005-06-03,1.362857,1.377857,1.348929,1.365714,1.157688,956869200
2005-06-06,1.368929,1.379643,1.341429,1.354286,1.148001,811966400
2005-06-07,1.342857,1.347500,1.301786,1.305000,1.106222,745264800
2005-06-08,1.308214,1.330357,1.306071,1.318571,1.117726,404006400
2005-06-09,1.321429,1.355000,1.315000,1.344643,1.139827,390255600
2005-06-10,1.335714,1.335714,1.268571,1.278929,1.084122,678932800
2005-06-13,1.281786,1.307500,1.279286,1.282143,1.086846,435772400
2005-06-14,1.282857,1.291071,1.276786,1.285714,1.089874,347846800
2005-06-15,1.316786,1.332143,1.296429,1.326071,1.124084,563343200
2005-06-16,1.328214,1.360000,1.315000,1.356429,1.149817,547674400
2005-06-17,1.373929,1.376429,1.351071,1.368214,1.159807,596125600
2005-06-20,1.351786,1.360357,1.337500,1.343214,1.138615,323716400
2005-06-21,1.347143,1.363929,1.335000,1.352143,1.146184,370526800
2005-06-22,1.366429,1.378571,1.362143,1.376786,1.167074,424925200
2005-06-23,1.386786,1.420714,1.380357,1.388929,1.177367,674254000
2005-06-24,1.396071,1.397143,1.345714,1.348571,1.143156,410709600
2005-06-27,1.315714,1.360714,1.310000,1.325000,1.123176,600171600
2005-06-28,1.338929,1.342500,1.327500,1.332500,1.129533,350299600
2005-06-29,1.329643,1.331786,1.290000,1.298929,1.101075,448358400
2005-06-30,1.307500,1.327143,1.296786,1.314643,1.114397,418390000
2005-07-01,1.315357,1.320357,1.296071,1.303571,1.105011,250000800
2005-07-05,1.305357,1.362500,1.303571,1.356429,1.149817,454269200
2005-07-06,1.346786,1.362857,1.328571,1.335357,1.131955,394626400
2005-07-07,1.314643,1.348571,1.314286,1.343929,1.139221,383723200
2005-07-08,1.352500,1.367143,1.338214,1.366071,1.157991,290735200
2005-07-11,1.370357,1.380357,1.349286,1.360714,1.153450,388788400
2005-07-12,1.365357,1.371429,1.353929,1.365714,1.157688,387038400
2005-07-13,1.367500,1.375000,1.353571,1.369643,1.161019,684835200
2005-07-14,1.456786,1.500357,1.436786,1.455357,1.233676,2096060400
2005-07-15,1.463214,1.484643,1.445000,1.483929,1.257897,687682800
2005-07-18,1.478929,1.503571,1.477500,1.481786,1.256080,586297600
2005-07-19,1.482857,1.543929,1.466786,1.542500,1.307546,671062000
2005-07-20,1.530714,1.564286,1.523214,1.558214,1.320866,453395600
2005-07-21,1.560714,1.572857,1.532143,1.546071,1.310573,404264000
2005-07-22,1.551429,1.571429,1.549643,1.571429,1.332068,301106400
2005-07-25,1.571071,1.581429,1.561786,1.564643,1.326316,294627200
2005-07-26,1.571786,1.575357,1.548571,1.558214,1.320866,268592800
2005-07-27,1.565357,1.573929,1.523929,1.571071,1.331765,283749200
2005-07-28,1.566071,1.571429,1.546429,1.564286,1.326013,251311200
2005-07-29,1.555714,1.585000,1.509286,1.523214,1.291198,562080400
2005-08-01,1.520357,1.538571,1.502857,1.526786,1.294226,314249600
2005-08-02,1.531786,1.553571,1.521786,1.542500,1.307546,296875600
2005-08-03,1.542500,1.546786,1.527500,1.543571,1.308454,258322400
2005-08-04,1.531786,1.535714,1.510357,1.525357,1.293014,269304000
2005-08-05,1.517500,1.548571,1.500714,1.535357,1.301491,241931200
2005-08-08,1.535714,1.544643,1.521786,1.523214,1.291198,176383200
2005-08-09,1.533214,1.567500,1.532500,1.565000,1.326619,380839200
2005-08-10,1.571429,1.585357,1.546786,1.549286,1.313298,360945200
2005-08-11,1.549643,1.575714,1.544643,1.571429,1.332068,271983600
2005-08-12,1.552143,1.650714,1.548571,1.646429,1.395645,916036800
2005-08-15,1.660000,1.726071,1.658929,1.702857,1.443478,1086727600
2005-08-16,1.692500,1.696429,1.650357,1.651786,1.400185,537622400
2005-08-17,1.657143,1.694286,1.656071,1.683929,1.427432,499724400
2005-08-18,1.675357,1.678571,1.633929,1.653571,1.401699,442559600
2005-08-19,1.652857,1.667857,1.634643,1.636786,1.387471,376569200
2005-08-22,1.648214,1.669643,1.616429,1.638214,1.388681,387732800
2005-08-23,1.637500,1.646429,1.618571,1.633571,1.384745,295604400
2005-08-24,1.628571,1.682857,1.628214,1.634643,1.385653,572070800
2005-08-25,1.647143,1.660357,1.636071,1.645000,1.394433,276253600
2005-08-26,1.647143,1.655000,1.620000,1.633571,1.384745,261058000
2005-08-29,1.616786,1.643929,1.616429,1.637143,1.387773,256295200
2005-08-30,1.642500,1.671071,1.640000,1.663214,1.409873,518761600
2005-08-31,1.673571,1.679643,1.652500,1.674643,1.419561,402956400
2005-09-01,1.678571,1.684643,1.646071,1.652143,1.400488,356367200
2005-09-02,1.653571,1.671429,1.647143,1.650714,1.399277,222378800
2005-09-06,1.667857,1.745714,1.662500,1.742857,1.477385,818619200
2005-09-07,1.751786,1.764286,1.711429,1.738571,1.473752,963074000
2005-09-08,1.762500,1.790000,1.755000,1.777857,1.507054,702640400
2005-09-09,1.788214,1.833929,1.778214,1.832500,1.553373,615641600
2005-09-12,1.825000,1.843929,1.806429,1.835714,1.556097,452796400
2005-09-13,1.822143,1.831786,1.797143,1.815000,1.538539,492884000
2005-09-14,1.823571,1.828214,1.766429,1.771786,1.501907,474426400
2005-09-15,1.785714,1.792143,1.761786,1.781071,1.509778,415156000
2005-09-16,1.793929,1.828929,1.783929,1.828929,1.550346,591004400
2005-09-19,1.823214,1.888929,1.823214,1.880000,1.593638,783731200
2005-09-20,1.892500,1.921786,1.890000,1.899643,1.610289,819828800
2005-09-21,1.891429,1.894643,1.852143,1.861071,1.577592,434747600
2005-09-22,1.852857,1.873929,1.832857,1.853571,1.571235,463727600
2005-09-23,1.860714,1.910714,1.851429,1.900000,1.610591,558457200
2005-09-26,1.929643,1.948571,1.904286,1.922857,1.629967,546562800
2005-09-27,1.925714,1.937143,1.908214,1.908571,1.617857,341703600
2005-09-28,1.895357,1.896786,1.806786,1.824286,1.546411,1125544000
2005-09-29,1.829643,1.878214,1.814643,1.869286,1.584556,636846000
2005-09-30,1.868929,1.916071,1.852857,1.914643,1.623004,531633200
